name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
La Table de Maïna,"18 Rue Périer, Montrouge",01 57 21 25 82,http://www.latabledemaina.com/,restaurant,Monday: Closed,Tuesday: 12:00 – 2:00 PM,Wednesday: 12:00 – 2:00 PM,"Thursday: 12:00 – 2:00 PM, 7:00 – 9:00 PM","Friday: 12:00 – 2:00 PM, 7:00 – 9:00 PM",Saturday: 7:00 – 9:00 PM,Sunday: Closed
Le Canastel,"123 Rue Paul Vaillant Couturier, Malakoff",09 53 38 90 49,Not Available,restaurant,Monday: 12:00 PM – 2:00 AM,Tuesday: 12:00 PM – 2:00 AM,Wednesday: 12:00 PM – 2:00 AM,Thursday: 12:00 PM – 2:00 AM,Friday: 12:00 PM – 2:00 AM,Saturday: 12:00 PM – 2:00 AM,Sunday: 5:00 PM – 2:00 AM
Restaurant L'Arganier,"15 Pl. du Château Sainte-Barbe, Fontenay-aux-Roses",01 41 13 66 08,http://www.larganier.com/,restaurant,"Monday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Tuesday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Wednesday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Thursday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Friday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Saturday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM","Sunday: 11:30 AM – 2:45 PM, 6:30 – 10:50 PM"
Il Segreto,"50 Av. Henri Ginoux, Montrouge",06 84 00 78 83,http://il-segreto.lafourchette.rest/,restaurant,"Monday: 12:00 – 3:00 PM, 7:00 – 10:30 PM","Tuesday: 12:00 – 3:00 PM, 7:00 – 10:30 PM","Wednesday: 12:00 – 3:00 PM, 7:00 – 10:30 PM","Thursday: 12:00 – 3:00 PM, 7:00 – 10:30 PM","Friday: 12:00 – 3:00 PM, 7:00 – 10:30 PM","Saturday: 12:00 – 3:00 PM, 7:00 – 10:30 PM",Sunday: Closed
Viet Quan,"9 Rue Gabriel Péri, Montrouge",01 57 63 70 56,https://vietquan.fr/fr,restaurant,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM",Sunday: Closed
Mieux qu'Ailleurs,"28 Av. Henri Barbusse, Bagneux",01 46 64 09 80,https://www.mieuxquailleurs.fr/,restaurant,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM",Sunday: Closed
Restaurant Farouche,"36 Av. Henri Ginoux, Montrouge",06 60 97 69 90,http://restaurantfarouche.com/,restaurant,"Monday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Tuesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM",Wednesday: 7:00 – 10:00 PM,"Thursday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Friday: 12:00 – 2:00 PM, 7:00 – 10:00 PM",Saturday: Closed,Sunday: Closed
Restaurant du Parc,"43 Av. Dumotel, Cachan",01 87 36 08 85,Not Available,cafe,Monday: 6:30 AM – 2:00 AM,Tuesday: 6:30 AM – 2:00 AM,Wednesday: 6:30 AM – 2:00 AM,Thursday: 6:30 AM – 2:00 AM,Friday: 6:30 AM – 2:00 AM,Saturday: 7:30 AM – 2:00 AM,Sunday: 10:30 AM – 10:00 PM
Le Castellio,"3 Av. de Verdun, Châtillon",01 47 46 15 02,http://www.restaurant-castellio.fr/,restaurant,Monday: 9:00 AM – 11:00 PM,Tuesday: 9:00 AM – 11:00 PM,Wednesday: 9:00 AM – 11:00 PM,Thursday: 9:00 AM – 11:00 PM,Friday: 9:00 AM – 11:00 PM,Saturday: 10:00 AM – 11:00 PM,Sunday: 10:00 AM – 4:00 PM
Aux Ducs d'Orléans,"46avenue Lénine, Gentilly",09 87 76 01 42,Not Available,restaurant,Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: 7:00 AM – 6:00 PM,Sunday: Closed
Restaurant Vietnamien,Montrouge,Not Available,Not Available,restaurant,"Monday: 12:00 – 2:30 PM, 6:30 – 10:00 PM","Tuesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM","Wednesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM","Thursday: 12:00 – 3:00 PM, 6:00 – 10:00 PM","Friday: 12:00 – 3:00 PM, 6:00 – 10:00 PM","Saturday: 12:00 – 3:00 PM, 6:00 – 10:00 PM",Sunday: Closed
Restaurant Foulo,"27 Av. du Général Leclerc, Bourg-la-Reine",01 46 63 06 79,http://fou-lo.fr/,restaurant,Monday: Closed,"Tuesday: 12:00 – 2:30 PM, 7:00 – 10:15 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 10:15 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 10:15 PM","Friday: 12:00 – 2:30 PM, 7:00 – 10:15 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 10:15 PM","Sunday: 12:00 – 2:30 PM, 7:00 – 10:15 PM"
Chez Ama,"7 Rue Danton, Montrouge",01 46 54 28 88,http://restaurantchezama.wix.com/chezama,restaurant,"Monday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM","Tuesday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM","Wednesday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM","Thursday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM","Friday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM","Saturday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM",Sunday: 6:00 – 10:30 PM
Le Commerce Brasserie et Restaurant Thaïlandais,"10 Av. de Paris, Châtillon",09 86 46 51 48,http://www.ville-chatillon.fr/Entreprises-et-commerces/Les-commerces-de-la-ville,restaurant,Monday: 8:00 AM – 11:00 PM,Tuesday: 8:00 AM – 11:00 PM,Wednesday: 8:00 AM – 11:00 PM,Thursday: 8:00 AM – 11:00 PM,Friday: 8:00 AM – 11:00 PM,Saturday: 8:00 AM – 11:00 PM,Sunday: Closed
La Fourche,"10B Av. Jean Baptiste Fortin, Bagneux",01 47 46 02 05,http://lafourchebagneux92.com/,restaurant,Monday: 6:00 AM – 10:00 PM,Tuesday: 6:00 AM – 10:00 PM,Wednesday: 6:00 AM – 10:00 PM,Thursday: 6:00 AM – 10:00 PM,Friday: 6:00 AM – 11:00 PM,Saturday: 7:00 AM – 11:00 PM,Sunday: 8:00 AM – 11:00 PM
Restaurant Brasserie,Montrouge,Not Available,Not Available,restaurant,Monday: 9:00 AM – 8:00 PM,Tuesday: 8:30 AM – 9:00 PM,Wednesday: 9:00 AM – 8:00 PM,Thursday: 8:30 AM – 9:00 PM,Friday: 9:00 AM – 8:00 PM,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed
Le Caribéen,"3 Av. du Maréchal de Lattre de Tassigny, Cachan",01 45 47 06 68,https://le-caribeen.fr/,restaurant,Monday: 11:45 AM – 11:30 PM,Tuesday: 11:45 AM – 11:30 PM,Wednesday: 11:45 AM – 11:30 PM,Thursday: 11:45 AM – 11:30 PM,Friday: 11:45 AM – 11:30 PM,Saturday: 11:45 AM – 11:30 PM,Sunday: 11:45 AM – 11:30 PM
Big Fernand,"1 Rue Théophile Gautier, Montrouge",01 85 15 23 91,https://bigfernand.com/restaurants/restaurant-big-fernand-montrouge/?utm_campaign=Provenance+Google&utm_medium=Clic&utm_source=Lien-SiteWeb-Google,meal_delivery,Monday: 11:45 AM – 10:30 PM,Tuesday: 11:45 AM – 10:30 PM,Wednesday: 11:45 AM – 10:30 PM,Thursday: 11:45 AM – 10:30 PM,Friday: 11:45 AM – 10:30 PM,Saturday: 11:45 AM – 10:30 PM,Sunday: 11:45 AM – 10:30 PM
Le Neuf de Thaï,"12 Av. de Paris, Châtillon",09 81 31 68 49,https://leneufdethai.fr/,restaurant,"Monday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Tuesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Wednesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Thursday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Friday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Saturday: 12:00 – 2:00 PM, 7:00 – 10:30 PM",Sunday: Closed
Himalayan Restaurant,"40 Av. Henri Ginoux, Montrouge",01 40 92 85 15,http://www.himalayan.fr/,restaurant,"Monday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Tuesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Friday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 11:00 PM",Sunday: Closed
L'Instant Gourmand,"7 Av. Henri Ravera, Bagneux",01 47 35 10 19,Not Available,restaurant,Monday: 12:00 – 6:00 PM,Tuesday: 12:00 – 6:00 PM,Wednesday: 12:00 – 6:00 PM,Thursday: 12:00 – 6:00 PM,Friday: 12:00 – 6:00 PM,Saturday: 12:00 – 6:00 PM,Sunday: Closed
Alessia,"31 Av. Laplace, Arcueil",07 53 81 62 02,https://alessiaristorante.fr/fr,restaurant,"Monday: 11:30 AM – 3:00 PM, 6:00 – 9:30 PM","Tuesday: 11:30 AM – 3:00 PM, 6:00 – 9:30 PM","Wednesday: 11:30 AM – 3:00 PM, 6:00 – 9:30 PM","Thursday: 11:30 AM – 3:00 PM, 6:00 – 9:30 PM",Friday: 11:30 AM – 9:30 PM,Saturday: 11:30 AM – 9:30 PM,Sunday: Closed
Restaurant Chez Marco,"12 Rue Jules Guesde, Montrouge",01 46 54 12 53,https://chez-marco-89.webself.net/,restaurant,"Monday: 12:00 – 2:30 PM, 6:30 – 11:00 PM","Tuesday: 12:00 – 2:30 PM, 6:30 – 11:00 PM","Wednesday: 12:00 – 2:30 PM, 6:30 – 11:00 PM","Thursday: 12:00 – 2:30 PM, 6:30 – 11:00 PM","Friday: 12:00 – 2:30 PM, 6:30 – 11:00 PM","Saturday: 12:00 – 2:30 PM, 6:30 – 11:00 PM",Sunday: 12:00 – 2:30 PM
Restaurant Everest,"10 Av. Henri Ravera, Bagneux",01 41 17 07 71,http://www.restaurant-everest92.fr/,restaurant,Monday: Closed,"Tuesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Friday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Sunday: 12:00 – 2:30 PM, 7:00 – 11:00 PM"
L'Encyclopédie,"60 Rue Camille Desmoulins, Cachan",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YUM,"40 Av. Léon Gambetta, Montrouge",09 86 52 32 11,http://www.yum-restaurant.fr/,restaurant,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM",Sunday: Closed
Via Veneto,"6 Rue de la Gare, Châtillon",01 47 46 03 05,http://pizzeria-via-veneto.eatbu.com/,bar,Monday: 12:00 – 2:30 PM,"Tuesday: 12:00 – 2:30 PM, 7:00 – 10:00 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 10:00 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 10:00 PM","Friday: 12:00 – 2:30 PM, 7:00 – 10:00 PM","Saturday: 12:00 – 2:30 PM, 7:00 – 10:00 PM",Sunday: Closed
Ristorante Due Fratelli,"63 Rue Emile Raspail, Arcueil",01 45 36 64 52,Not Available,meal_takeaway,"Monday: 11:00 AM – 3:00 PM, 7:00 – 10:00 PM","Tuesday: 11:00 AM – 3:00 PM, 7:00 – 10:00 PM","Wednesday: 11:00 AM – 3:00 PM, 7:00 – 10:00 PM","Thursday: 11:00 AM – 3:00 PM, 7:00 – 10:00 PM","Friday: 11:00 AM – 3:00 PM, 7:00 – 10:00 PM","Saturday: 11:00 AM – 3:00 PM, 7:30 – 11:30 PM",Sunday: Closed
Pizzeria Santa Maria,"9 Rue Paul Bert, Malakoff",01 57 19 56 24,http://pizzeriasantamaria.eatbu.com/,liquor_store,"Monday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM","Tuesday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM","Wednesday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM","Thursday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM","Friday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM","Saturday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM",Sunday: Closed
Restaurant Istanbul,"3 Av. Jeanne d'Arc, Arcueil",09 50 02 02 96,https://4sq.com/2RQKMga,restaurant,Monday: 11:00 AM – 12:00 AM,Tuesday: 11:00 AM – 12:00 AM,Wednesday: 11:00 AM – 12:00 AM,Thursday: 11:00 AM – 12:00 AM,Friday: 11:00 AM – 12:00 AM,Saturday: 11:00 AM – 12:00 AM,Sunday: 11:00 AM – 12:00 AM
Restaurant halal 94 | restaurant halal cachan - bagneux | Butcher square,"31 Av. du Pont Royal, Cachan",06 62 25 87 36,http://www.butcher-square.fr/,restaurant,"Monday: 11:30 AM – 3:00 PM, 7:00 – 11:00 PM","Tuesday: 11:30 AM – 3:00 PM, 7:00 – 11:00 PM","Wednesday: 11:30 AM – 3:00 PM, 7:00 – 11:00 PM","Thursday: 11:30 AM – 3:00 PM, 7:00 – 11:00 PM","Friday: 11:30 AM – 3:00 PM, 6:30 – 11:30 PM","Saturday: 11:30 AM – 3:00 PM, 7:00 – 11:30 PM",Sunday: 6:30 – 11:00 PM
Grazie Mille,"59 Av. Jean Jaurès, Cachan",01 46 63 83 78,http://www.pizzeria-graziemille.fr/,restaurant,Monday: Closed,"Tuesday: 12:00 – 2:00 PM, 6:30 – 9:30 PM","Wednesday: 12:00 – 2:00 PM, 6:30 – 9:30 PM","Thursday: 12:00 – 2:00 PM, 6:30 – 9:30 PM","Friday: 12:00 – 2:00 PM, 6:30 – 9:30 PM",Saturday: 6:30 – 9:30 PM,Sunday: Closed
Gourmet Burger,"59 Rue Berthollet, Arcueil",01 89 13 93 50,Not Available,restaurant,Monday: 11:00 AM – 1:00 AM,Tuesday: 11:00 AM – 12:00 AM,Wednesday: 11:00 AM – 1:00 AM,Thursday: 11:00 AM – 1:00 AM,Friday: 11:00 AM – 1:00 AM,Saturday: 11:00 AM – 2:00 AM,Sunday: 11:00 AM – 2:00 AM
LE SPECIAL restaurant,"152 Bd Gabriel Péri, Malakoff",01 80 92 60 00,http://le-special.com/,restaurant,Monday: 11:30 AM – 1:00 AM,Tuesday: 11:30 AM – 1:00 AM,Wednesday: 12:30 PM – 1:00 AM,Thursday: 11:30 AM – 1:00 AM,"Friday: 11:30 AM – 1:00 PM, 2:30 PM – 1:00 AM",Saturday: 11:30 AM – 1:00 AM,Sunday: 11:30 AM – 1:00 AM
Mi Casa,"157 Av. Paul Vaillant Couturier, Gentilly",01 49 12 59 79,Not Available,restaurant,Monday: 11:30 AM – 2:00 AM,Tuesday: 11:30 AM – 2:00 AM,Wednesday: 11:30 AM – 2:00 AM,Thursday: 11:30 AM – 2:00 AM,Friday: 2:30 PM – 2:00 AM,Saturday: 11:30 AM – 2:00 AM,Sunday: 11:30 AM – 2:00 AM
Tô & Cie,"23 Rue Marie Debos, Montrouge",09 53 77 78 52,https://to-cie-restaurant-montrouge.eatbu.com/?lang=fr,bar,Monday: 12:00 – 3:00 PM,Tuesday: 12:00 – 3:00 PM,Wednesday: 12:00 – 3:00 PM,Thursday: 12:00 – 3:00 PM,"Friday: 12:00 – 3:00 PM, 6:30 – 9:30 PM","Saturday: 12:00 – 3:00 PM, 6:30 – 9:30 PM",Sunday: Closed
Hippopotamus,"3 Carrefour de la vache noire, Arcueil",01 40 92 76 00,https://restaurants.hippopotamus.fr/hippopotamus-steakhouse-0161269205cc?y_source=1_MTQ4MDU1MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,restaurant,Monday: 11:00 AM – 11:00 PM,Tuesday: 11:00 AM – 11:00 PM,Wednesday: 11:00 AM – 11:00 PM,Thursday: 11:00 AM – 11:00 PM,Friday: 11:00 AM – 11:00 PM,Saturday: 11:00 AM – 11:00 PM,Sunday: 11:00 AM – 11:00 PM
Resto Pizza,"15 Av. Laplace, Arcueil",01 46 16 06 65,https://www.resto-pizza.fr/,meal_delivery,Monday: 11:00 AM – 12:00 AM,Tuesday: 11:00 AM – 12:00 AM,Wednesday: 11:00 AM – 12:00 AM,Thursday: 11:00 AM – 12:00 AM,Friday: 11:00 AM – 12:00 AM,Saturday: 11:00 AM – 12:00 AM,Sunday: 11:00 AM – 12:00 AM
Chez Papa Indien,"90 Av. Henri Ginoux, Montrouge",01 49 12 10 49,https://chezpapaindien-montrouge.fr/fr,cafe,Monday: 9:00 AM – 11:00 PM,Tuesday: 9:00 AM – 11:00 PM,Wednesday: 9:00 AM – 11:00 PM,Thursday: 9:00 AM – 11:00 PM,Friday: 9:00 AM – 11:00 PM,Saturday: 9:00 AM – 11:00 PM,Sunday: 9:00 AM – 11:00 PM
Restaurant La Pléiade,"2 Rue Mirabeau, Cachan",01 45 47 18 00,Not Available,restaurant,"Monday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Tuesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Wednesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Thursday: 12:00 – 2:00 PM, 7:00 – 10:00 PM","Friday: 12:00 – 2:00 PM, 7:00 – 10:00 PM",Saturday: Closed,Sunday: 7:00 – 10:00 PM
